,online_event,organizer_id,venue_id,ITEM_ID,category,name_text,description_text,start_timezone,start_local,end_local,address,city,region,postal_code,latitude,longitude
0,False,4550013695.0,60607087.0,157707020945.0,food-and-drink,Nyc #1 Certified Saturdays at Katra nyc,INDOOR / OUTDOOR DINING Available,America/New_York,2021-06-05T23:00:00,2021-12-26T04:00:00,217 Bowery,New York,NY,10002,40.7217244,-73.9932124
1,False,8391788178.0,68200189.0,157637444841.0,food-and-drink,CARIBBEAN FRIDAYS,WELCOME TO THE ONLY REAL AUTHENTIC CARIBBEAN EVENT IN NYC..... EVERY FRIDAY COME GET A TASTE OF THE CARIBBEAN FLAVORS.,America/New_York,2021-06-04T22:00:00,2022-02-05T04:00:00,440 9th Avenue,New York,NY,10001,40.7538231,-73.99573149999999
2,False,4550013695.0,71387959.0,191294646437.0,food-and-drink,New years day,The Best Thanksgiving eve party in nyc,America/New_York,2022-01-01T23:00:00,2022-01-02T04:00:00,217 Bowery,New York,NY,10002,40.7217244,-73.9932124
3,False,7971404951.0,63158817.0,163517941565.0,food-and-drink,"BRUNCH N SHHH,  Saturday 2hr open bar brunch and day party,",NYC's #1 Weekly Saturday for 5yrs strong is back at a new location --- Katra Lounge,America/New_York,2021-07-24T14:00:00,2021-12-25T22:00:00,217 Bowery,New York,NY,10002,40.72169290000001,-73.9931265
4,False,7935521513.0,61655581.0,161728904507.0,food-and-drink,Sunday Fundaze Hosted by  Tara Wallace & Chrissy Monroe of LHHNY,Sunday Fundaze Day Party & Brunch Hosted by Chrissy Monroe & Tara Wallace of Love & Hip-Hop New York!,America/New_York,2021-07-04T14:00:00,2023-06-25T23:00:00,168 Delancey Street,New York,NY,10002,40.71797129999999,-73.9852887
5,False,6008097331.0,61811283.0,162500135279.0,food-and-drink,CARIBBEAN SATURDAYS #CUTTYPALANCE (LADIES FREE),THE LIVEST CARIBBEAN SATURDAYS EVENT IN NYC,America/New_York,2021-07-10T22:00:00,2022-01-02T04:00:00,147-02 Liberty Avenue,Queens,NY,11435,40.6961964,-73.8041493
6,False,7971404951.0,61483989.0,160989274253.0,food-and-drink,"After Work Thursdays On The Hudson, Happy Hour, Live Music, Free Entry","Grand Re-opening Thursday, Dec 2nd. Thursday afterwork in Harlem ""On The Hudson""  Happy hour, Live DJ, Indoor/Outdoor seating and more.",America/New_York,2021-07-01T16:00:00,2021-12-31T00:00:00,701 West 133rd Street,New York,NY,10027,40.8202992,-73.9589649
7,False,15811242331.0,64052609.0,173842606917.0,food-and-drink,NYC Caribbean Vibes Brunch,THE BEST BOTTOMLESS BRUNCH IN NYC IN NYC,America/New_York,2021-09-18T13:00:00,2021-12-26T20:00:00,506 9th Avenue,New York,NY,10018,40.7560837,-73.994125
8,False,9789186973.0,67568819.0,191148158287.0,food-and-drink,Hot 97's Black Friday @ Taj,"Friday November 26th Black Friday  @ Taj: 
Everyone Free Entry with Rsvp",America/New_York,2021-11-26T23:00:00,2021-11-27T04:00:00,48 West 21st Street,New York,NY,10010,40.74107300000001,-73.99293
9,False,4550013695.0,67922279.0,158497228477.0,food-and-drink,Caribbean Fridays,WELCOME TO THE ONLY REAL AUTHENTIC CARIBBEAN EVENT IN NYC..... EVERY FRIDAY COME GET A TASTE OF THE CARIBBEAN FLAVORS.,America/New_York,2021-06-11T23:00:00,2022-01-01T04:00:00,440 9th Avenue,New York,NY,10001,40.7538231,-73.99573149999999
